play_id,strength,gameWinningGoal,emptyNet
2018020049_75,Even,False,False
2018020049_140,Even,False,False
2018020049_308,Even,False,False
2018020049_327,Even,True,False
2018020050_42,Even,False,False
2018020050_54,Even,False,False
2018020050_176,Even,False,False
2018020050_207,Even,True,False
2018020050_210,Even,False,False
2018020050_306,Even,False,False
2018020051_30,Even,True,False
2018020051_67,Even,False,False
2018020051_291,Even,False,False
2018020052_34,Even,False,False
2018020052_76,Even,False,False
2018020052_111,Even,False,False
2018020052_139,Power Play,False,False
2018020052_261,Even,False,False
2018020052_270,Power Play,True,False
2018020052_286,Even,False,False
2018020052_311,Even,False,True
2018020053_102,Even,False,False
2018020053_274,Even,False,False
2018020053_284,Even,True,False
2018020053_305,Even,False,True
2018020053_312,Even,False,True
2018020054_43,Even,False,False
2018020054_45,Even,False,False
2018020054_54,Even,False,False
2018020054_83,Even,False,False
2018020054_112,Power Play,True,False
2018020054_190,Power Play,False,False
2018020054_235,Even,False,False
2018020054_253,Even,False,False
2018020055_110,Even,True,False
2018020055_233,Even,False,False
2018020055_269,Even,False,False
2018020056_61,Even,False,False
2018020056_82,Even,False,False
2018020056_181,Even,False,False
2018020056_207,Even,False,False
2018020056_229,Power Play,False,False
2018020056_311,Short Handed,False,False
2018020056_334,Even,True,False
2018020057_64,Even,False,False
2018020057_75,Even,False,False
2018020057_243,Power Play,True,False
2018020058_265,Even,True,False
2018020059_37,Even,False,False
2018020059_63,Even,True,False
2018020059_83,Power Play,False,False
2018020059_158,Even,False,False
2018020059_203,Even,False,False
2018020059_270,Even,False,False
2018020061_111,Even,False,False
2018020061_151,Even,False,False
2018020061_191,Even,True,False
2018020061_217,Power Play,False,False
2018020061_244,Power Play,False,False
2018020061_251,Even,False,False
2018020061_281,Short Handed,False,False
2018020061_288,Even,False,False
2018020061_316,Even,False,False
2018020061_342,Even,False,False
2018020060_48,Even,False,False
2018020060_94,Power Play,False,False
2018020060_196,Even,False,False
2018020060_228,Even,False,False
2018020060_246,Power Play,False,False
2018020060_265,Power Play,False,False
2018020060_302,Even,False,False
2018020060_323,Even,False,False
2018020060_338,Even,True,False
2018020062_20,Even,False,False
2018020062_89,Even,False,False
2018020062_116,Even,False,False
2018020062_162,Even,False,False
2018020062_173,Power Play,False,False
2018020062_188,Power Play,False,False
2018020062_396,Even,True,
2018020062_398,Even,True,
2018020063_9,Even,False,False
2018020063_55,Even,False,False
2018020063_91,Power Play,True,False
2018020063_145,Even,False,False
2018020063_181,Even,False,False
2018020063_204,Even,False,False
2018020063_219,Power Play,False,False
2018020063_248,Power Play,False,False
2018020063_282,Even,False,False
2018020063_313,Power Play,False,False
2018020064_178,Even,False,False
2018020064_188,Power Play,False,False
2018020064_204,Even,False,False
2018020064_218,Even,False,False
2018020064_255,Even,True,False
2018020065_7,Even,False,False
2018020065_118,Even,False,False
2018020065_125,Power Play,False,False
2018020065_180,Even,False,False
2018020065_218,Power Play,True,False
2018020065_274,Even,False,False
2018020066_77,Even,False,False
2018020066_84,Even,False,False
2018020066_99,Even,True,False
2018020066_135,Even,False,False
2018020066_165,Even,False,False
2018020066_229,Power Play,False,False
2018020066_289,Even,False,True
2018020067_53,Even,False,False
2018020067_74,Even,False,False
2018020067_148,Power Play,False,False
2018020067_163,Power Play,False,False
2018020067_178,Even,False,False
2018020067_180,Even,False,False
2018020067_219,Power Play,True,False
2018020067_329,Even,False,True
2018020068_53,Even,False,False
2018020068_82,Power Play,False,False
2018020068_193,Even,False,False
2018020068_233,Power Play,False,False
2018020068_244,Power Play,False,False
2018020068_277,Even,False,False
2018020068_327,Even,True,False
2018020069_20,Even,True,False
2018020069_108,Power Play,False,False
2018020069_307,Even,False,False
2018020070_7,Even,False,False
2018020070_18,Even,False,False
2018020070_161,Even,False,False
2018020070_276,Even,False,False
2018020070_292,Even,True,False
2018020057_64,Even,False,False
2018020057_75,Even,False,False
2018020057_243,Power Play,True,False
2018020058_265,Even,True,False
2018020059_37,Even,False,False
2018020059_63,Even,True,False
2018020059_83,Power Play,False,False
2018020059_158,Even,False,False
2018020059_203,Even,False,False
2018020059_270,Even,False,False
2018020061_111,Even,False,False
2018020061_151,Even,False,False
2018020061_191,Even,True,False
2018020061_217,Power Play,False,False
2018020061_244,Power Play,False,False
2018020061_251,Even,False,False
2018020061_281,Short Handed,False,False
2018020061_288,Even,False,False
2018020061_316,Even,False,False
2018020061_342,Even,False,False
2018020060_48,Even,False,False
2018020060_94,Power Play,False,False
2018020060_196,Even,False,False
2018020060_228,Even,False,False
2018020060_246,Power Play,False,False
2018020060_265,Power Play,False,False
2018020060_302,Even,False,False
2018020060_323,Even,False,False
2018020060_338,Even,True,False
2018020062_20,Even,False,False
2018020062_89,Even,False,False
2018020062_116,Even,False,False
2018020062_162,Even,False,False
2018020062_173,Power Play,False,False
2018020062_188,Power Play,False,False
2018020062_396,Even,True,
2018020062_398,Even,True,
2018020063_9,Even,False,False
2018020063_55,Even,False,False
2018020063_91,Power Play,True,False
2018020063_145,Even,False,False
2018020063_181,Even,False,False
2018020063_204,Even,False,False
2018020063_219,Power Play,False,False
2018020063_248,Power Play,False,False
2018020063_282,Even,False,False
2018020063_313,Power Play,False,False
2018020064_178,Even,False,False
2018020064_188,Power Play,False,False
2018020064_204,Even,False,False
2018020064_218,Even,False,False
2018020064_255,Even,True,False
2018020065_7,Even,False,False
2018020065_118,Even,False,False
2018020065_125,Power Play,False,False
2018020065_180,Even,False,False
2018020065_218,Power Play,True,False
2018020065_274,Even,False,False
2018020066_77,Even,False,False
2018020066_84,Even,False,False
2018020066_99,Even,True,False
2018020066_135,Even,False,False
2018020066_165,Even,False,False
2018020066_229,Power Play,False,False
2018020066_289,Even,False,True
2018020067_53,Even,False,False
2018020067_74,Even,False,False
2018020067_148,Power Play,False,False
2018020067_163,Power Play,False,False
2018020067_178,Even,False,False
2018020067_180,Even,False,False
2018020067_219,Power Play,True,False
2018020067_329,Even,False,True
2018020068_53,Even,False,False
2018020068_82,Power Play,False,False
2018020068_193,Even,False,False
2018020068_233,Power Play,False,False
2018020068_244,Power Play,False,False
2018020068_277,Even,False,False
2018020068_327,Even,True,False
2018020069_20,Even,True,False
2018020069_108,Power Play,False,False
2018020069_307,Even,False,False
2018020070_7,Even,False,False
2018020070_18,Even,False,False
2018020070_161,Even,False,False
2018020070_276,Even,False,False
2018020070_292,Even,True,False
2018020071_128,Even,False,False
2018020071_152,Power Play,False,False
2018020071_202,Even,False,False
2018020071_233,Even,False,False
2018020071_246,Even,True,False
2018020072_102,Even,False,False
2018020072_189,Even,False,False
2018020072_201,Power Play,False,False
2018020072_260,Even,False,False
2018020072_291,Power Play,True,False
2018020073_256,Power Play,False,False
2018020073_276,Even,False,False
2018020073_342,Even,True,False
2018020073_354,Even,False,True
2018020071_128,Even,False,False
2018020071_152,Power Play,False,False
2018020071_202,Even,False,False
2018020071_233,Even,False,False
2018020071_246,Even,True,False
2018020072_102,Even,False,False
2018020072_189,Even,False,False
2018020072_201,Power Play,False,False
2018020072_260,Even,False,False
2018020072_291,Power Play,True,False
2018020073_256,Power Play,False,False
2018020073_276,Even,False,False
2018020073_342,Even,True,False
2018020073_354,Even,False,True
2018020074_8,Even,False,False
2018020074_115,Power Play,True,False
2018020074_148,Even,False,False
2018020074_182,Even,False,False
2018020074_289,Even,False,False
2018020075_48,Even,False,False
2018020075_110,Even,False,False
2018020075_114,Even,False,False
2018020075_127,Even,False,False
2018020075_153,Even,True,False
2018020075_161,Even,False,False
2018020075_227,Power Play,False,False
2018020075_305,Even,False,False
2018020075_331,Power Play,False,False
2018020075_364,Even,False,False
2018020076_100,Power Play,False,False
2018020076_212,Even,False,False
2018020076_224,Even,True,False
2018020076_274,Even,False,False
2018020076_317,Even,False,True
2018020077_32,Power Play,False,False
2018020077_66,Power Play,False,False
2018020077_118,Even,False,False
2018020077_160,Even,True,False
2018020077_175,Even,False,False
2018020077_296,Even,False,True
2018020074_8,Even,False,False
2018020074_115,Power Play,True,False
2018020074_148,Even,False,False
2018020074_182,Even,False,False
2018020074_289,Even,False,False
2018020075_48,Even,False,False
